Comparison,Expected_Overlap,Observed_Overlap,(Obs - Exp)^2/Exp
aba_0.5hr_downx.rhizUpx.,6.18285163112749,6,0.00540765345842335
aba_4.0hr_upx.1.cold_0.5hr_upx.,198.162664921286,525,539.065437194176
aba_4.0hr_upx.1.cold_4.0hr_upx.,185.491749629681,494,513.108214982982
aba_4.0hr_upx.1.cold_0.5hr_downx.,259.100623514417,988,2050.53269974671
aba_4.0hr_upx.1.cold_4.0hr_downx.,247.866616142478,925,1849.82401692521
aba_4.0hr_upx.1.drought_0.5hr_upx.,166.224120706879,512,719.275627342709
aba_4.0hr_upx.1.drought_4.0hr_upx.,237.285748734025,742,1073.54308798591
aba_4.0hr_upx.1.drought_0.5hr_downx.,239.310482620827,846,1538.05285279108
aba_4.0hr_upx.1.drought_4hr_downx.,27.6931344517551,71,67.7238110001987
aba_4.0hr_upx.1.salt_0.5hr_upx.,160.803059009956,561,995.985975415266
aba_4.0hr_upx.1.salt_4.0hr_upx.,166.028178717834,440,452.095297535204
aba_4.0hr_upx.1.salt_0.5hr_downx.,261.125357401219,891,1519.35480084129
aba_4.0hr_upx.1.salt_4hr_downx.,281.895208240036,982,1738.75505903562
aba_4.0hr_upx.1.sporeUpx.,6.33545764580247,7,0.0697055469725982
aba_4.0hr_upx.1.caulonemaUpx.,11.4299493609838,22,9.77484387575178
aba_4.0hr_upx.1.chloronemaUpx.,4.31072375899962,8,3.15741855506151
aba_4.0hr_upx.1.gamUpx.,7.57642357642358,7,0.0438550110227326
aba_4.0hr_upx.1.rhizUpx.,2.8085018429846,3,0.0130573331229589
cold_0.5hr_upx.cold_4.0hr_upx.,296.825932688002,2305,13586.289607867
cold_0.5hr_upx.cold_0.5hr_downx.,414.615660201867,0,414.615660201867
cold_0.5hr_upx.cold_4.0hr_downx.,396.638878363016,288,29.7560489800808
cold_0.5hr_upx.drought_0.5hr_upx.,265.993661510903,1937,10497.4763962798
cold_0.5hr_upx.drought_4.0hr_upx.,379.707258258982,1707,4639.64273518522
cold_0.5hr_upx.drought_0.5hr_downx.,382.947259636915,540,64.4098178922625
cold_0.5hr_upx.drought_4hr_downx.,44.3148575562369,155,276.458087273529
cold_0.5hr_upx.salt_0.5hr_upx.,257.318819111923,1958,11240.2057844391
cold_0.5hr_upx.salt_4.0hr_upx.,265.680112990458,1528,5997.63181069188
cold_0.5hr_upx.salt_0.5hr_downx.,417.855661579799,582,64.4800736539975
cold_0.5hr_upx.salt_4hr_downx.,451.091804746977,822,304.977585179187
